emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees,delinquency_category,loan_size,dti_category,credit_utilization_percent,credit_utilization_category,loan_quality,is_bad_loan,income_group,credit_history_years,term_category
register_nurse,2,FL,mortgage,91900.0,source verified,1.82,0.0,not_applicable,0.0,0,2000,4,26,10,450371,55939,0,0,0,0,1,7,4.0,10,0,0,2,9000,15,8,3,3,92.0,0,0,other,individual,40000,60,9.92,848.31,B,B2,2018-03-01,current,whole,Cash,38434.2,2500.84,1565.8,935.04,0.0,Never Late,Very Large Loan,Low Risk,12.420648754027235,Low,Good Loan,0,Middle Income,26,Long Term
respiratory_therapist_sleep_lab_tech,5,SC,mortgage,122000.0,source verified,12.06,0.0,not_applicable,0.0,0,1990,8,32,12,263800,43686,0,0,0,31245,2,11,1.0,12,0,0,3,12100,20,9,5,3,84.4,0,0,debt_consolidation,individual,16000,36,13.59,543.67,C,C2,2018-02-01,current,whole,Cash,14525.3,2204.88,1474.7,730.18,0.0,Late (37-60 Months),Large Loan,Low Risk,16.56027293404094,Low,Good Loan,0,High Income,36,Short Term
senior_inspector,10,CO,mortgage,88000.0,source verified,3.67,0.0,not_applicable,0.0,0,1984,6,65,21,259915,14387,0,0,0,0,0,7,0.0,21,0,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,9.43,356.46,B,B1,2018-02-01,current,whole,DirectPay,16326.13,1060.47,673.87,386.6,0.0,Never Late,Large Loan,Low Risk,5.535271146336302,Low,Good Loan,0,Middle Income,42,Long Term
not_provided,0,FL,mortgage,17000.0,verified,33.98,0.0,not_applicable,0.0,1,2006,0,22,10,74042,26483,0,1,0,0,3,4,14.0,10,0,0,2,3600,17,7,2,1,90.9,0,1,debt_consolidation,individual,3000,36,19.03,110.02,D,D3,2018-01-01,current,whole,Cash,2744.21,454.36,255.79,198.57,0.0,Late (0-12 Months),Small Loan,Moderate Risk,35.76753734366981,Medium,Good Loan,0,Low Income,20,Short Term
dental_hygienist,10,TN,mortgage,60000.0,not verified,38.46,0.0,not_applicable,0.0,0,1995,0,21,11,136815,75552,0,0,0,0,3,1,6.0,11,0,0,3,39700,10,8,3,2,100.0,0,0,credit_card,individual,20000,60,19.03,519.15,D,D3,2018-02-01,current,whole,Cash,19172.64,2023.74,827.36,1196.38,0.0,Never Late,Large Loan,High Risk,55.22201512991997,Medium,Good Loan,0,Middle Income,31,Long Term
not_provided,0,NV,mortgage,60000.0,not verified,31.22,0.0,not_applicable,0.0,0,2003,4,21,9,375092,93016,0,0,0,0,3,8,2.0,9,0,0,2,15800,7,5,3,2,95.2,0,0,credit_card,individual,12000,60,19.03,311.49,D,D3,2018-01-01,current,whole,Cash,11374.52,1532.08,625.48,906.6,0.0,Never Late,Medium Loan,Moderate Risk,24.798182845808494,Low,Good Loan,0,Middle Income,23,Long Term
onsite_medical,3,NV,rent,72000.0,source verified,20.33,0.0,not_applicable,0.0,0,2006,6,12,6,58911,54947,0,0,0,0,2,3,2.0,6,0,0,1,2500,5,4,2,0,91.7,0,0,debt_consolidation,individual,30000,60,28.72,947.15,F,F1,2018-01-01,current,whole,Cash,28798.08,4687.88,1201.92,3485.96,0.0,Late (37-60 Months),Very Large Loan,Moderate Risk,93.27120571709867,High,Good Loan,0,Middle Income,20,Long Term
welder,1,CA,mortgage,83000.0,source verified,18.44,0.0,not_applicable,0.0,3,2005,1,11,6,555154,39482,0,0,0,0,1,1,8.0,6,0,0,3,8300,7,4,3,2,63.6,0,0,debt_consolidation,individual,20000,60,15.05,476.33,C,C4,2018-01-01,fully paid,whole,Cash,0.0,20653.717721938,20000.0,653.72,0.0,Late (13-36 Months),Large Loan,Low Risk,7.11190048166815,Low,Good Loan,0,Middle Income,21,Long Term
maintenance_adm_assistant,10,KY,mortgage,50000.0,not verified,15.6,0.0,not_applicable,0.0,0,2003,0,13,9,70313,18128,0,0,0,0,2,4,13.0,9,0,0,2,18800,7,6,4,1,100.0,0,0,credit_card,individual,7000,36,6.08,213.21,A,A2,2018-01-01,current,fractional,Cash,6102.23,1063.69,897.77,165.92,0.0,Never Late,Medium Loan,Low Risk,25.781861106765465,Low,Good Loan,0,Middle Income,23,Short Term
warranty_administrator,1,NV,mortgage,42000.0,source verified,32.0,95000.0,Source Verified,16.12,0,1991,4,19,9,272403,47575,0,1,0,0,3,5,5.0,9,0,0,3,10100,7,5,5,1,100.0,0,1,credit_card,joint,10000,36,11.98,332.05,B,B5,2018-03-01,current,whole,Cash,9296.37,989.49,703.63,285.86,0.0,Never Late,Medium Loan,Moderate Risk,17.464932471375132,Low,Good Loan,0,Low Income,35,Short Term
underwriter,5,NJ,mortgage,100000.0,not verified,26.53,0.0,not_applicable,0.0,0,2002,1,64,17,566384,151251,0,0,0,150,7,10,6.0,17,0,0,3,26200,22,8,6,6,100.0,0,0,debt_consolidation,individual,21050,60,13.59,485.34,C,C2,2018-02-01,current,whole,Cash,20045.3,1909.57,1004.7,904.87,0.0,Never Late,Large Loan,Moderate Risk,26.704673860843524,Low,Good Loan,0,High Income,24,Long Term
not_provided,0,TX,mortgage,40280.0,verified,7.27,0.0,not_applicable,0.0,0,1997,1,10,4,188450,6103,0,0,0,0,1,0,9.0,4,0,0,1,7500,7,2,1,1,90.0,0,0,home_improvement,individual,3500,36,6.71,107.61,A,A3,2018-03-01,current,whole,Cash,3323.42,223.71,176.58,47.13,0.0,Never Late,Small Loan,Low Risk,3.238524807641284,Low,Good Loan,0,Low Income,29,Short Term
program_analyst,10,VA,rent,82000.0,not verified,17.31,0.0,not_applicable,0.0,0,1999,1,26,7,65425,69177,0,0,0,0,2,3,4.0,7,0,0,2,11500,14,5,5,2,88.0,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,2018-03-01,current,fractional,Cash,7403.61,744.57,596.39,148.18,0.0,Late (60+ Months),Medium Loan,Low Risk,105.73481085212076,High,Good Loan,0,Middle Income,27,Short Term
surveyor_cadd_tech,7,PA,mortgage,55000.0,source verified,14.42,0.0,not_applicable,0.0,0,2009,0,20,14,197985,17296,0,0,0,142,1,3,6.0,14,0,0,7,22100,16,12,8,1,100.0,0,0,debt_consolidation,individual,18000,60,12.61,405.98,C,C1,2018-02-01,current,whole,Cash,17342.65,1205.33,657.35,547.98,0.0,Never Late,Large Loan,Low Risk,8.736015354698589,Low,Good Loan,0,Middle Income,17,Long Term
associated,1,NY,rent,55000.0,source verified,13.68,0.0,not_applicable,0.0,0,2013,7,17,11,41891,26637,0,0,0,0,1,11,3.0,11,0,0,3,17700,16,10,4,0,100.0,0,0,credit_card,individual,10000,36,11.98,332.05,B,B5,2018-03-01,current,whole,Cash,9432.28,750.79,567.72,183.07,0.0,Late (37-60 Months),Medium Loan,Low Risk,63.586450550237515,Medium,Good Loan,0,Middle Income,13,Short Term
inventory_control_specialist,5,IL,rent,33000.0,not verified,19.38,0.0,not_applicable,0.0,0,2013,0,9,8,43876,22920,0,0,0,0,5,2,19.0,8,0,0,3,17600,3,3,3,0,100.0,0,0,debt_consolidation,individual,3200,36,7.34,99.31,A,A4,2018-02-01,current,whole,Cash,2557.44,696.63,642.56,54.07,0.0,Never Late,Small Loan,Low Risk,52.23812562676634,Medium,Good Loan,0,Low Income,13,Short Term
inventory_control,3,GA,rent,60000.0,not verified,11.0,0.0,not_applicable,0.0,0,1998,0,13,9,56000,14338,0,0,0,0,2,5,6.0,9,0,0,2,36400,9,7,2,1,92.3,0,0,debt_consolidation,individual,10000,36,5.32,301.15,A,A1,2018-01-01,current,whole,Cash,8704.48,1498.36,1295.52,202.84,0.0,Late (60+ Months),Medium Loan,Low Risk,25.60357142857143,Low,Good Loan,0,Middle Income,28,Short Term
sr_direct_supoort_professional,4,MO,mortgage,48000.0,source verified,2.88,0.0,not_applicable,0.0,0,2002,2,26,9,147217,2489,0,0,0,0,2,3,0.0,9,0,0,1,25000,18,6,1,2,100.0,0,0,house,individual,6000,36,6.07,182.73,A,A2,2018-03-01,current,whole,Cash,5540.54,544.14,459.46,84.68,0.0,Never Late,Medium Loan,Low Risk,1.6907014814865131,Low,Good Loan,0,Low Income,24,Short Term
director_of_operations,4,CA,mortgage,106000.0,verified,26.25,0.0,not_applicable,0.0,0,1997,2,36,15,405236,105548,0,0,0,0,2,4,0.0,15,0,0,8,62120,26,12,12,4,100.0,0,0,debt_consolidation,individual,12000,36,12.62,402.14,C,C1,2018-02-01,current,whole,Cash,10878.71,1600.15,1121.29,478.86,0.0,Never Late,Medium Loan,Moderate Risk,26.046057112398703,Low,Good Loan,0,High Income,29,Short Term
teacher,9,AR,mortgage,50000.0,verified,36.75,101000.0,Verified,20.92,1,1982,0,31,20,246210,51523,0,0,0,0,2,3,17.0,20,0,0,8,71100,26,17,10,2,90.3,0,0,credit_card,joint,19000,60,19.03,493.19,D,D3,2018-02-01,current,whole,Cash,18214.02,1922.54,785.98,1136.56,0.0,Never Late,Large Loan,High Risk,20.926444904756103,Low,Good Loan,0,Middle Income,44,Long Term
controller,3,SC,mortgage,80000.0,source verified,28.3,0.0,not_applicable,0.0,0,2004,0,27,14,250359,113927,0,0,0,0,2,4,20.0,14,0,0,3,23800,14,11,6,4,96.3,0,0,debt_consolidation,individual,28000,60,20.39,747.92,D,D4,2018-03-01,current,whole,Cash,27169.59,2180.32,830.41,1349.91,0.0,Never Late,Large Loan,Moderate Risk,45.50545416781502,Medium,Good Loan,0,Middle Income,22,Long Term
deputy,10,CA,mortgage,140000.0,not verified,13.82,0.0,not_applicable,0.0,0,1993,2,21,12,631258,69647,0,0,0,0,2,5,0.0,12,0,0,1,58100,13,9,3,2,100.0,0,0,debt_consolidation,individual,15000,60,9.93,318.19,B,B2,2018-01-01,fully paid,whole,Cash,0.0,15005.166875,15000.0,5.17,0.0,Never Late,Large Loan,Low Risk,11.033048294041423,Low,Good Loan,0,High Income,33,Long Term
armed_protection_officer,1,MD,own,70000.0,source verified,0.0,0.0,not_applicable,0.0,0,2004,0,13,3,30400,92,0,0,0,0,0,0,6.0,3,0,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,6.08,73.1,A,A2,2018-01-01,fully paid,whole,Cash,0.0,2409.0499926707,2400.0,9.05,0.0,Never Late,Small Loan,Low Risk,0.3026315789473684,Low,Good Loan,0,Middle Income,22,Short Term
driver,2,MD,rent,45000.0,source verified,10.59,0.0,not_applicable,0.0,0,2003,1,9,7,14500,13304,0,0,0,0,0,0,6.0,7,0,0,4,11300,8,7,6,0,100.0,0,0,debt_consolidation,individual,10000,36,21.45,379.07,D,D5,2018-01-01,current,fractional,Cash,8961.95,1871.52,1038.05,833.47,0.0,Never Late,Medium Loan,Low Risk,91.75172413793103,High,Good Loan,0,Low Income,23,Short Term
supplies_clerk,10,NJ,mortgage,70000.0,verified,17.06,105000.0,Verified,13.27,0,1988,2,21,14,363649,29954,0,0,0,0,3,4,7.0,14,0,0,3,12900,15,10,7,2,95.2,0,0,car,joint,24000,60,15.04,571.47,C,C4,2018-03-01,in grace period,whole,Cash,23455.27,1102.83,544.73,558.1,0.0,Late (60+ Months),Large Loan,Low Risk,8.23706376203427,Low,Good Loan,0,Middle Income,38,Long Term
loan_consultant,2,PA,rent,75000.0,not verified,18.53,0.0,not_applicable,0.0,0,2006,2,12,6,55075,34186,0,0,0,0,2,3,2.0,6,0,0,1,19600,9,4,2,0,100.0,0,0,other,individual,9500,36,10.42,308.42,B,B3,2018-01-01,current,whole,Cash,8350.57,1531.1,1149.43,381.67,0.0,Never Late,Medium Loan,Low Risk,62.071720381298235,Medium,Good Loan,0,Middle Income,20,Short Term
bank_coordinator,2,CA,rent,53592.0,source verified,7.1,0.0,not_applicable,0.0,0,2009,0,6,4,42499,10466,2,0,0,3943,1,1,14.0,4,0,0,1,18800,3,3,2,1,100.0,0,0,other,individual,30000,36,12.61,1005.2,C,C1,2018-02-01,current,whole,Cash,27196.39,3978.77,2803.61,1175.16,0.0,Never Late,Very Large Loan,Low Risk,24.626461799101154,Low,Good Loan,0,Middle Income,17,Short Term
not_provided,0,MI,mortgage,19000.0,not verified,24.79,43000.0,Not Verified,17.15,0,2004,0,12,6,23234,12435,0,1,0,154,0,2,13.0,6,0,0,2,3000,8,5,4,1,100.0,0,1,other,joint,10000,60,18.06,254.27,D,D2,2018-01-01,current,whole,Cash,9465.3,1261.32,534.7,726.62,0.0,Never Late,Medium Loan,Moderate Risk,53.52070241886891,Medium,Good Loan,0,Low Income,22,Long Term
senior_recruiter,5,MD,rent,90000.0,source verified,15.72,0.0,not_applicable,0.0,0,2005,8,24,10,77285,51012,0,0,0,0,2,4,3.0,10,0,0,2,23900,11,8,3,3,100.0,0,0,moving,individual,15000,60,11.99,333.6,B,B5,2018-02-01,current,whole,Cash,14254.01,1314.42,745.99,568.43,0.0,Never Late,Large Loan,Low Risk,66.00504625735913,Medium,Good Loan,0,Middle Income,21,Long Term
reader_advisor,10,VA,rent,77000.0,source verified,14.82,0.0,not_applicable,0.0,0,1977,0,29,14,74852,44015,0,0,0,0,2,5,16.0,14,0,0,3,27700,19,11,6,3,96.6,0,0,debt_consolidation,individual,35000,60,15.05,833.57,C,C4,2018-01-01,current,whole,Cash,33391.61,3275.75,1608.39,1667.36,0.0,Late (60+ Months),Very Large Loan,Low Risk,58.802704002565065,Medium,Good Loan,0,Middle Income,49,Long Term
truck_driver,2,TX,rent,42000.0,source verified,25.89,0.0,not_applicable,0.0,0,2004,1,11,6,43239,31094,0,0,0,0,3,4,1.0,6,0,0,2,8300,7,3,3,0,100.0,0,0,credit_card,individual,10000,36,15.05,346.9,C,C4,2018-02-01,current,whole,Cash,9097.26,1379.24,902.74,476.5,0.0,Never Late,Medium Loan,Moderate Risk,71.91193135826452,High,Good Loan,0,Low Income,22,Short Term
sales,4,TX,mortgage,130000.0,source verified,13.51,0.0,not_applicable,0.0,0,1991,2,15,11,403408,49857,0,0,0,667,2,9,8.0,11,0,0,2,34300,7,6,4,2,100.0,0,0,home_improvement,individual,40000,60,12.62,902.37,C,C1,2018-02-01,current,whole,Cash,38042.58,3581.44,1957.42,1624.02,0.0,Never Late,Very Large Loan,Low Risk,12.358951731249752,Low,Good Loan,0,High Income,35,Long Term
director_of_support_services,10,NC,own,76300.0,not verified,10.71,0.0,not_applicable,0.0,0,1980,4,30,12,185068,26515,0,1,0,0,2,7,0.0,12,0,0,2,16800,21,9,4,3,96.7,0,1,debt_consolidation,individual,15000,36,6.72,461.24,A,A3,2018-01-01,current,whole,Cash,13092.56,2295.0,1907.44,387.56,0.0,Late (60+ Months),Large Loan,Low Risk,14.327166230790844,Low,Good Loan,0,Middle Income,46,Short Term
police_recruit,0,TX,rent,41000.0,verified,25.7,0.0,not_applicable,0.0,0,2008,0,23,7,29311,13527,0,0,0,0,2,1,17.0,7,0,0,5,10300,7,5,5,2,100.0,0,0,debt_consolidation,individual,4500,36,15.05,156.11,C,C4,2018-02-01,current,whole,Cash,4093.75,620.68,406.25,214.43,0.0,Never Late,Small Loan,Moderate Risk,46.149909590256215,Medium,Good Loan,0,Low Income,18,Short Term
lead_teller,2,NE,rent,30000.0,not verified,3.64,0.0,not_applicable,0.0,0,2012,0,9,7,18000,5542,0,0,0,0,0,1,6.0,7,0,0,2,17000,8,7,3,0,100.0,0,0,car,individual,16000,60,9.93,339.41,B,B2,2018-01-01,current,whole,Cash,14947.68,1688.22,1052.32,635.9,0.0,Never Late,Large Loan,Low Risk,30.788888888888888,Medium,Good Loan,0,Low Income,14,Long Term
registered_nurse,6,NC,mortgage,88000.0,source verified,17.24,0.0,not_applicable,0.0,0,2004,2,39,25,404236,199983,0,0,0,0,18,5,3.0,25,0,0,3,32000,8,6,4,2,97.4,0,0,credit_card,individual,10000,36,10.42,324.65,B,B3,2018-01-01,current,whole,Cash,9036.27,1292.81,963.73,329.08,0.0,Never Late,Medium Loan,Low Risk,49.47184318071621,Medium,Good Loan,0,Middle Income,22,Short Term
hes_advisor,2,TX,mortgage,115000.0,verified,18.72,0.0,not_applicable,0.0,0,2005,6,21,15,394519,69124,0,0,0,0,2,11,1.0,15,0,0,8,40150,12,10,5,2,76.0,0,0,debt_consolidation,individual,20000,60,22.91,562.78,E,E1,2018-02-01,current,whole,Cash,19255.22,2225.66,744.78,1480.88,0.0,Late (37-60 Months),Large Loan,Low Risk,17.521082634803392,Low,Good Loan,0,High Income,21,Long Term
sr_admin_assistant,10,TX,rent,95731.0,not verified,19.64,0.0,not_applicable,0.0,0,2002,1,37,15,86768,53109,0,0,0,0,2,10,4.0,15,0,0,2,33700,21,13,4,0,100.0,0,0,debt_consolidation,individual,20600,60,30.79,676.52,G,G1,2018-01-01,current,whole,Cash,19821.53,3345.79,778.47,2567.32,0.0,Never Late,Large Loan,Low Risk,61.20804905034114,Medium,Good Loan,0,Middle Income,24,Long Term
president,2,CA,rent,127000.0,source verified,9.12,0.0,not_applicable,0.0,1,2013,0,11,9,74518,34313,0,0,0,0,1,2,18.0,9,0,0,3,32300,9,8,4,0,100.0,0,0,major_purchase,individual,35000,60,15.05,833.57,C,C4,2018-02-01,current,whole,Cash,33396.01,3305.02,1603.99,1701.03,0.0,Never Late,Very Large Loan,Low Risk,46.04659276953219,Medium,Good Loan,0,High Income,13,Long Term
hvac_technician,10,GA,mortgage,75000.0,source verified,22.91,145000.0,Source Verified,22.42,0,1993,0,27,8,224758,63799,0,0,0,0,4,1,6.0,8,0,0,1,23000,8,3,1,3,100.0,0,0,debt_consolidation,joint,10000,36,6.07,304.54,A,A2,2018-03-01,current,whole,Cash,9234.27,910.25,765.73,144.52,0.0,Never Late,Medium Loan,Moderate Risk,28.385641445465794,Low,Good Loan,0,Middle Income,33,Short Term
nurse_assistant,5,NC,mortgage,70000.0,not verified,21.41,0.0,not_applicable,0.0,0,2008,1,21,6,279995,52244,0,0,0,0,2,4,9.0,6,0,0,1,14800,10,3,2,3,100.0,0,0,debt_consolidation,individual,12000,36,6.07,365.45,A,A2,2018-03-01,current,whole,Cash,11081.12,1092.3,918.88,173.42,0.0,Never Late,Medium Loan,Moderate Risk,18.658904623296845,Low,Good Loan,0,Middle Income,18,Short Term
not_provided,0,FL,own,22000.0,source verified,13.05,40000.0,Source Verified,22.39,0,1984,0,6,3,130600,4277,0,0,0,0,0,0,6.0,3,0,0,1,2300,3,2,2,1,80.0,0,0,debt_consolidation,joint,1925,36,17.47,69.09,D,D1,2018-03-01,current,whole,Cash,1842.26,139.02,82.74,56.28,0.0,Late (37-60 Months),Small Loan,Low Risk,3.274885145482389,Low,Good Loan,0,Low Income,42,Short Term
driver,8,NJ,mortgage,75000.0,verified,20.16,0.0,not_applicable,0.0,0,2006,4,39,23,365595,30262,0,0,0,391,2,9,0.0,23,0,0,6,49600,31,20,7,1,100.0,0,0,house,individual,15000,36,7.34,465.5,A,A4,2018-03-01,current,whole,Cash,13871.88,1390.38,1128.12,262.26,0.0,Never Late,Large Loan,Moderate Risk,8.277465501442853,Low,Good Loan,0,Middle Income,20,Short Term
gourmet_food_server,10,NV,mortgage,73000.0,verified,39.08,0.0,not_applicable,0.0,0,2007,8,28,24,146435,51162,0,1,0,0,3,9,0.0,24,0,0,8,40600,24,21,13,1,100.0,0,1,debt_consolidation,individual,20000,36,13.59,679.58,C,C2,2018-02-01,current,whole,Cash,18156.66,2703.22,1843.34,859.88,0.0,Never Late,Large Loan,High Risk,34.9383685594291,Medium,Good Loan,0,Middle Income,19,Short Term
not_provided,0,NV,mortgage,76000.0,not verified,14.62,0.0,not_applicable,0.0,0,2009,2,15,14,368543,24135,0,0,0,0,2,9,12.0,14,0,0,5,56300,11,11,5,2,100.0,0,0,debt_consolidation,individual,6000,36,6.72,184.5,A,A3,2018-01-01,current,whole,Cash,5391.31,736.88,608.69,128.19,0.0,Never Late,Medium Loan,Low Risk,6.548760931560225,Low,Good Loan,0,Middle Income,17,Short Term
deputy_assessor,8,WV,mortgage,50000.0,verified,12.15,0.0,not_applicable,0.0,0,2007,8,27,13,97664,21687,0,1,0,0,1,3,10.0,13,0,0,4,25600,21,11,4,2,96.2,0,1,debt_consolidation,individual,25000,36,9.93,805.86,B,B2,2018-01-01,current,fractional,Cash,21955.1,4015.51,3044.9,970.61,0.0,Never Late,Large Loan,Low Risk,22.205725753604195,Low,Good Loan,0,Middle Income,19,Short Term
service_tech,10,MD,own,58000.0,source verified,12.58,0.0,not_applicable,0.0,0,2004,0,22,10,37300,14770,0,0,0,0,0,3,6.0,10,0,0,4,17000,14,9,6,2,86.4,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,2018-03-01,current,whole,Cash,9275.14,961.39,724.86,236.53,0.0,Late (37-60 Months),Medium Loan,Low Risk,39.597855227882036,Medium,Good Loan,0,Middle Income,22,Short Term
senior_technically_writer,1,VA,rent,105000.0,not verified,16.73,0.0,not_applicable,0.0,0,1990,0,6,6,63600,53168,0,0,0,0,1,0,6.0,6,0,0,4,51100,5,5,4,0,100.0,0,0,debt_consolidation,individual,6000,36,9.93,193.41,B,B2,2018-02-01,current,fractional,Cash,5417.78,768.68,582.22,186.46,0.0,Never Late,Medium Loan,Low Risk,83.59748427672956,High,Good Loan,0,High Income,36,Short Term
registered_nurse,10,VA,mortgage,114000.0,verified,28.13,0.0,not_applicable,0.0,1,2001,1,28,17,451597,88594,0,0,0,0,6,8,12.0,17,0,0,2,33000,14,10,8,5,96.4,0,0,credit_card,individual,20000,60,14.07,466.1,C,C3,2018-03-01,current,whole,Cash,19297.02,1367.03,702.98,664.05,0.0,Late (13-36 Months),Large Loan,Moderate Risk,19.617933688664895,Low,Good Loan,0,High Income,25,Long Term
